date,exp,imp,imae,crude_oil_brent,gas_henry_hub,treasury3month,yuan_dollar_spot_tc,usdollar_euro,ue_m,ue_x,usa_x,usa_m,chn_x,chn_m,year,month
1999-01-01,528.55962495,539.682,52.19728227,11.1145,1.8494736842105264,4.335263157894737,8.27892105263158,1.1590947368421052,68745808219.5036,71636492945.5434,78473.0,94349.0,13782536808.8512,12151178634.1123,1999,1
1999-02-01,572.45474641,531.06989383,48.74735445,10.27157894736842,1.7710526315789472,4.438421052631579,8.278136842105264,1.120278947368421,67299375238.00071,69617222531.0922,78212.0,96680.0,14576954605.4129,12712618081.4624,1999,2
1999-03-01,585.5258869699999,599.8439000000001,50.38692578,12.511304347826089,1.7917391304347827,4.440869565217391,8.279152173913044,1.0885869565217392,68364566067.4014,70144710757.0101,78701.0,96421.0,14950945511.753,13969406251.67,1999,3
1999-04-01,628.7163183499999,489.16520251,47.01636913,15.2945,2.15,4.289545454545455,8.279186363636363,1.07005,66634548028.6376,69153435277.5574,79530.0,97476.0,14752998717.4043,13588233549.1009,1999,4
1999-05-01,554.24172258,518.3872927900002,48.61700899,15.22526315789474,2.26,4.4985,8.278535,1.063005,68032582391.0909,69040646484.5903,79539.0,99585.0,15922968446.9663,14570090689.246,1999,5
1999-06-01,496.2511196600003,530.6165999999998,49.92418247,15.863181818181818,2.304090909090909,4.566818181818181,8.277986363636364,1.0377181818181818,66167327959.82929,69610008178.68791,79808.0,102700.0,15251486036.0984,13924632300.8378,1999,6
1999-07-01,529.8998374600001,533.3575000000001,48.76024972,19.08,2.3071428571428574,4.55095238095238,8.2776,1.037047619047619,68497902976.56649,72511356569.1476,81122.0,104221.0,16659887437.6639,13586913478.6873,1999,7
1999-08-01,533.1204249499997,512.3326000000002,49.80388653,20.219047619047625,2.794545454545455,4.721363636363637,8.277245454545454,1.0605045454545454,68536588458.036,71027030219.3392,82645.0,105271.0,17182862844.5463,13539482283.0516,1999,8
1999-09-01,576.2539063300001,525.4279999999999,49.12418624,22.543181818181814,2.546190476190476,4.6761904761904765,8.277447619047619,1.049747619047619,73157927378.2764,72313009191.0186,83727.0,106426.0,17435123710.355602,14456692006.7562,1999,9
1999-10-01,562.8361780699997,507.8306999999995,51.70851193,22.002380952380957,2.728095238095238,4.861,8.27749,1.07055,74513508958.3466,75996440500.12201,83942.0,107315.0,17794787356.840603,14470620056.5084,1999,10
1999-11-01,572.8680185500007,558.6967957400002,56.19228779,24.58409090909091,2.367,5.0705,8.278225,1.03279,73608651432.1186,74507244866.6813,84633.0,109759.0,18676019645.9526,15861459120.5702,1999,11
1999-12-01,521.6326867199996,508.18716719999975,56.00507397,25.473157894736843,2.355238095238095,5.196363636363636,8.279352173913043,1.0110260869565215,73968642410.9968,73356950810.0522,86192.0,112131.0,17079582112.587002,12904230855.182,1999,12
2000-01-01,329.82925013,448.86359993,55.09810124,25.511,2.421578947368421,5.3185,8.279215,1.01311,76819001105.8509,74754131136.187,86001.0,113133.0,20108242711.2536,18510369442.116497,2000,1
2000-02-01,347.96009316000004,430.83583052,51.64888452,27.775714285714283,2.6595,5.548,8.27812,0.98336,76934726315.3643,75727832958.3512,86540.0,116334.0,19426305490.0157,18417360294.8858,2000,2
2000-03-01,403.36593718,524.48853939,53.78982107,27.48608695652174,2.793181818181818,5.694782608695652,8.278560869565217,0.9643391304347826,77585949601.2844,75469606843.76129,88115.0,118672.0,20199196171.4938,17321790125.858,2000,3
2000-04-01,316.20710209000003,397.43407239,47.724761,22.764444444444443,3.041578947368421,5.658421052631579,8.279285,0.94492,74456370909.0441,73826493014.3208,89359.0,117957.0,20223534603.5009,18303199456.303497,2000,4
2000-05-01,381.8998365299999,537.5989025900001,50.93629191,27.73761904761905,3.586818181818181,5.790909090909091,8.2781,0.9059454545454546,77312694321.07161,74413360516.44371,88958.0,118123.0,20775395329.4178,17775512871.924503,2000,5
2000-06-01,352.13158709999993,453.21893680999983,51.40784999,29.795454545454547,4.292272727272728,5.6863636363636365,8.277209090909091,0.9504772727272728,80531254619.8616,77231963342.4054,91635.0,122040.0,22222224824.3563,19245375551.9358,2000,6
2000-07-01,326.33157368,433.6271675900002,50.43493937,28.682380952380957,3.99,5.955,8.27936,0.938615,79830417859.4253,77289426477.32071,91195.0,122447.0,20559260554.6282,19353061587.4663,2000,7
2000-08-01,342.4502980100001,451.3286158199999,51.77285596,30.19608695652174,4.429565217391304,6.094347826086956,8.279569565217392,0.9045043478260868,78817878695.4581,75912472130.5924,93112.0,123043.0,21931259159.6209,19787941094.0802,2000,8
2000-09-01,312.42013684999984,468.7552679799997,49.8558987,33.1447619047619,5.056,5.9975000000000005,8.278545,0.8694749999999999,78598311230.0376,75327318240.682,92896.0,126230.0,21366901922.322,19443781204.9549,2000,9
2000-10-01,359.9752352800001,486.6640373500004,52.23751388,30.96090909090909,5.022272727272727,6.106666666666667,8.278461904761905,0.8525380952380953,78778306769.698,76046159014.54651,92177.0,125555.0,22183771996.0974,19903891491.4353,2000,10
2000-11-01,342.63055749000023,486.9936152099999,55.95703695,32.55227272727273,5.5245,6.171904761904763,8.27737142857143,0.855152380952381,80269585948.0104,76707645174.7471,91919.0,124642.0,21198439232.6426,20397780260.034,2000,11
2000-12-01,295.82267799999954,425.0132172900003,56.48928356,25.66,8.9,5.769,8.277145,0.89831,85263118576.5731,81104040864.59479,91055.0,124475.0,19136339468.6701,17947163074.1902,2000,12
2001-01-01,344.47657496,466.2664034,57.18410563,25.62454545454545,8.172857142857143,5.145714285714286,8.277609523809524,0.9375809523809524,83037626753.7504,83212819939.4229,90796.0,125997.0,20083341143.3238,17727800658.9888,2001,1
2001-02-01,324.98024309000004,443.5715503,52.3710724,27.503500000000003,5.606315789473684,4.881578947368421,8.277057894736842,0.9205210526315788,80939287165.8626,80603368394.0849,91101.0,120401.0,24998467103.9971,25500875510.7043,2001,2
